פתרון,הגדרה,אורך,מחבר,מספר
אאוריקה,מצאתי לראשונה אפשרות שתהיה בלי כלום (7),7,אודי הרשקוביץ,130
אב,"עם 25 מאונך. שוב יגרמו לכך שיהיה פה, וזה נורא (4)",2,דוד זהבי,318
אב,(עם 4 מאונך) רן באבל או באשפוז (6)(ח),2,דוד זהבי,337
אב,בית רוחני מנחם תוכנית (2),2,דוד זהבי,361
אב,יהושע מכל צידי הבית (2),2,דוד זהבי,388
אבא,"אבן או שתים, בין הראשונות (3)",3,דוד זהבי,165
אבאגנוב,"אשמור על כלי נגינה חיצוני בסרט (3, 4)",7,דוד זהבי,267
אבאואמא,"לכל אחד יש אותם: ראשונות שמשולב בהן פיצוץ (3, 4)",7,דוד זהבי,359
אבאחושי,"ארגיש בתחילת האביב כמו פעם, בחיפה (3, 4)",7,דוד זהבי,55
אבאפגומ,"חדש גם באמצע הגומל, זו קבוצה פופולרית (3, 4)",7,דוד זהבי,282
אבדו,יש לו שני ילדים שכבר אינם (4),4,דוד זהבי,369
אבדו,יש לו תאומים אבל הוא לא יודע איפה הם (4),4,דוד זהבי,494
אבדיה,ראה/י 1 מאונך,5,אודי הרשקוביץ,403
אבדעליהכלח,"אני כבר לא כמו פעם, אלך על בדיחה (3, 3, 4)",10,אודי הרשקוביץ,72
אבהבית,"בתוכה ובתוכי בין הראשונה לאחרונה, אחראי לתקן (2, 4)",6,דוד זהבי,506
אבהות,נעצו מבט בעיתון וזה יחס לילד (5),5,דוד זהבי,576
אבהות,האות לכך שיש לו ילדים (5),5,אודי הרשקוביץ,591
אבוגוש,"חודש ודן למשל בדרך לירושלים (3, 3)",6,דוד זהבי,176
אבולה,מאוד רצו את המחלה (5),5,אודי הרשקוביץ,438
אבוס,שוב משתכר מאוכל של בהמות (4),4,אודי הרשקוביץ,189
אבוצע,יעשו אותי בכאב וצער (5),5,אודי הרשקוביץ,550
אבוקדו,נשמע שאני אגיע לפני שהם כרעו תחת העץ (6),6,אודי הרשקוביץ,134
אבוקדו,אפשר לאכול את מה שהיה לפני כן בגזרה ז' (6),6,אודי הרשקוביץ,330
אבוקדו,הירק נשמע כזוג לפידים (6),6,אודי הרשקוביץ,354
אבותאבותיה,"ראשי השושלת שלה יחזרו ויקרבו אותה פעמיים אחרי שלום (4, 6)",10,דוד זהבי,573
אבותישורונ,"משורר חדש יחד עם בהמה ושיר (4, 6)",10,אודי הרשקוביץ,554
אבחזיה,מחוז חדש עם לבוש נשי (6),6,דוד זהבי,255
אבחזיה,בתו בגד באסיה (6),6,אודי הרשקוביץ,301
אבחנה,"לטענת הרופא, קרוב עצר (5)",5,דוד זהבי,414
אבחנה,חוות דעת הרופא על סבא של שמואל (5),5,דוד זהבי,582
אבטיח,בעל מקצוע מגיע ושב עם ירק (5),5,אודי הרשקוביץ,434
אבטליונ,בצפון המדינה היא לא תחשב בעיני (7),7,אודי הרשקוביץ,174
אבי,"(עם 19 מאונך) קח ארבע באברהם, הוא שר (3, 6)",3,דוד זהבי,110
אבי,"עם 20 מאוזן. בתוספת א' אלו דברי אשתו של הדובר (3, 5)",3,אודי הרשקוביץ,154
אבי,"עם 15 מאונך. מוליד האומה ומנהיגה המוזיקאי (3, 8)",3,אודי הרשקוביץ,493
אבי,"עם 17 מאונך. מצחיק שאנחנו כנראה הדודים של המוסד (3, 7)",3,אודי הרשקוביץ,619
אביבאלוש,"לפי השחקן נשר מגיע, תכין בצק! (4, 4)",8,דוד זהבי,569
אביבגפנ,"שר טולדנו למשל, כי אין להן אף אחד (4, 3)",7,דוד זהבי,431
אביבגפנ,"עם 15 מאונך. הופיעו טוב בגן אתי וכבר לא מופיעים (4, 3, 8)",7,דוד זהבי,459
אביבי,ראה/י 5 מאונך,5,אודי הרשקוביץ,372
אביבכוכבי,"הזמן בו פורח זה שמאיר לי בראש המערכת (4, 5)",9,דוד זהבי,298
אביבכוכבי,"המפקד העליון לשעבר חדש? יתאבלו עליך בבקשה (4, 5)",9,אודי הרשקוביץ,574
אביבנעורימ,"סבא וסבתא שלי לא רואים: היתה שמלה במבצע (4, 6)",10,דוד זהבי,333
אבידיכטר,"ח""כ ימני? דווקא שמאלי מקיף את מה ששלך (3, 5)",8,אודי הרשקוביץ,368
אביהמ,מה היה אברהם ליצחק וישמעאל? תחליף רבי (5),5,דוד זהבי,45
אביונ,הוא הבן של זה שלא הצליח לעשות כסף (5),5,אודי הרשקוביץ,152
אביזר,אני דור ראשון פה ואפשר להשתמש בזה (5),5,דוד זהבי,496
אביזרבטיחות,"תטי אביב חוזר עם משקפי מגן למשל (5, 6)",11,דוד זהבי,604
אביזרימ,הילדים שלו לא מוכרים וחפצים (7),7,דוד זהבי,637
אבייש,"שלום בשלום, יפגעו ממני (5)",5,דוד זהבי,361
אבייש,חדש! משקה חריף יגרום לכך שיעלבו ממני (5) (מ),5,דוד זהבי,422
אביכהנ,"אגרום תחושה לא נעימה, הרי שחק בירושלים או בתל אביב? (3, 3)",6,דוד זהבי,549
אבינועמ,הבן של נאוה סמל: בחור כארז (7) (מ),7,דוד זהבי,39
אבינועמ,ראה/י 1 מאוזן,7,דוד זהבי,414
אבינושבשמימ,"רבונו של עולם, קודם שחקנית צרפתיה עם ריח טוב (5, 6)",11,דוד זהבי,220
אביניונ,אתפוס את המדינה בצרפת (7),7,אודי הרשקוביץ,499
אביעזר,הסתייעתי בהורה בשביל מושב (6),6,דוד זהבי,378
אביר,הוא על הסוס שלושה ימים לפני יום העצמאות (4),4,אודי הרשקוביץ,305
אבירימ,יראים מבעלי תואר (6),6,אודי הרשקוביץ,326
אבירמ,אחד משני הרשעים הוא זה שאמור להציל אותם (5),5,דוד זהבי,427
אבירנ,"השוער חתם כמו מנכ""ל משרד הבטחון לשעבר (3, 2)",5,דוד זהבי,151
אבירקארה,"בכנסת אני אסביר: זה מסביב לפת, לדוגמא (4, 4) (מ)",8,אודי הרשקוביץ,448
אבישגסמברג,"מעוז שומר על דוד בעיר שבמקום השלישי (5, 5)",10,אודי הרשקוביץ,432
אבלגדול,"יגון או הסתייגות משמעותית (3, 4)",7,דוד זהבי,592
אבלול,אני אערבב שוב מין אחד (5),5,אודי הרשקוביץ,232
אבלימ,"הסוכה של יצחק לשחור, למשל (5)",5,דוד זהבי,64
אבלפ,לא אהיה ישר לאף (4),4,דוד זהבי,294
אבנאודמ,"בחושן יש בחירה בין סלע לנוזל (3, 4) (מ)",7,דוד זהבי,514
אבנגבירול,"בשעת צער נחזק אותו, את המשורר (3, 6)",9,אודי הרשקוביץ,326
אבנהפנה,"אבא נתן כיוון וזה הבסיס להכל (3, 4)",7,דוד זהבי,346
אבנהפנה,"כשהיסוד חזר, הוא חזה שתהיה הרמה (3, 4)",7,דוד זהבי,557
אבנט,תא מח שאחריו אפשר לקשור (4),4,דוד זהבי,314
אבני,איתן חפץ דרך (4),4,אודי הרשקוביץ,205
אבנידומינו,"חדש שהחרימו ונתנו לו תפקיד, הן מפילות זו את זו (4, 6)",10,דוד זהבי,216
אבנימבכליה,"יש לה חצץ בין חפציה, וזה כואב מאד (5, 5)",10,דוד זהבי,531
אבנימטובות,"משלמים הרבה עבור חדש, ישן וכלי נשיפה (5, 5)",10,דוד זהבי ואודי הרשקוביץ,425
אבנינגפ,"בעיות? זה חדש, קרוב וחלק מהגוף (4, 3)",7,דוד זהבי,447
אבנלגו,"אברהם נראה לי בתוך חלק מהמשחק (3, 3)",6,דוד זהבי,18
אבנניר,"עם 5 מאוזן. המשחק של זה שבתו מטפלת בגובה הכתובים (3, 3, 7) (ח)",6,דוד זהבי,196
אבנספיר,"זה בסיסי, הבור ברח במושב (3, 4)",7,דוד זהבי,261
אבנספיר,"במושב החדש ברח 200 פעמים (3, 4)",7,דוד זהבי,508
אבנפינה,"היסוד, הדבר הבסיסי ביותר פה בצאצאית (3, 4)",7,דוד זהבי,120
אבנפינה,"אבא לא השאיר את תחילת הבניה (3, 4) (מ)",7,דוד זהבי,282
אבנשושנ,"נשאו שן מילון (3, 4)",7,אודי הרשקוביץ,339
אבנשמוט,"נזרוק חדש לתנור (3, 4)",7,אודי הרשקוביץ,536
אבנשפה,"בצד הכביש יש ילד בזבל (3, 3)",6,דוד זהבי,571
אבק,לכלוך שב ומדרג (3),3,דוד זהבי,104
אבק,"לפני שבגר, רבץ על המדף, למשל (3)",3,אודי הרשקוביץ,442
אברבנאל,"ליד תבורי למשל, יש בית חולים (7)",7,אודי הרשקוביץ,434
אברדינ,במכה אין עיר? להיפך! (6),6,אודי הרשקוביץ,372
אברהמ,"בן ציון נתניהו, למשל, הוא אבא של יצחק (5)",5,דוד זהבי,344
אברהמ,"עם 23 מאוזן. שרה אמנו כנראה חשבה כמו אלוף (5, 3)",5,דוד זהבי,410
אברהמ,"ראה""מ חתם על ההסכמים שלו (5)",5,דוד זהבי,467
אברהמאבינו,"חזר ואמר מראש שתכף הוא מגיע מהתנ""ך (5, 5)",10,אודי הרשקוביץ,3
אברהמאבינו,"אנחנו האחים של ראש הממשלה, אחד מ 5 מאונך (5, 5)",10,אודי הרשקוביץ,438
אברהמאדנ,"כנף נכשלה בקיצוניות לפי האלוף (5, 3)",8,דוד זהבי,524
אברהמיצחק,"עם 6 מאונך. לפי השלושה, כנף המשקה דומה לחלק מהרגל (5, 4, 5)",9,דוד זהבי,141
אברהמפורז,"השר לשעבר טוען שלכנף שלה אין נשק (5, 4)",9,דוד זהבי,251
אברומבורג,"היה יו""ר ראשון בגובה שמכיל עיר (5, 4)",9,דוד זהבי,124
אבריגלעד,"מסתמן שאני לא אפסיק לסובב ברדיו ובטלוויזיה (4, 4)",8,אודי הרשקוביץ,397
אברכ,אקווה שזה שלומד תורה יצליח (4),4,דוד זהבי,465
אברש,צמח שלא בונה על ירושה גדולה (4),4,דוד זהבי,539
אבשלומ,"עם 8 מאוזן. חוקר שפה הכינו אוכל במקרר (6, 3)",6,אודי הרשקוביץ,464
אבשלומקור,"מדקדק שכנראה יש לו גוזלים (6, 3)",9,אודי הרשקוביץ,67
אגב,אחד מאחור על הדרך (3),3,דוד זהבי ואודי הרשקוביץ,25
אגד,חבר שיש לו תותחים (3),3,אודי הרשקוביץ,103
אגד,חבר יחידה (3),3,דוד זהבי,476
אגדותרוק,"זמרים מפורסמים: בהתחלה גל ואבשלום חזר (5, 3)",8,דוד זהבי,386
אגו,אני קודם בפנים (3),3,דוד זהבי,22
אגו,אני סופר (3) (עם דוד זהבי),3,אודי הרשקוביץ,85
אגו,גם כשעני יורד מהאצבע הוא מחפש כבוד (3),3,דוד זהבי,169
אגו,ערוץ של הסופר אלטר (3),3,דוד זהבי,198
אגודל,צניעות ביד (5),5,דוד זהבי,373
אגודל,צניעות של אחת מחמש (5),5,דוד זהבי,402
אגודל,אצבע צנועה (5),5,אודי הרשקוביץ,483
אגודלימ,"אל אנגלי בין העבריים, הם בידים שלנו (7)",7,דוד זהבי,455
אגוזיאדמה,"אהיה כמו חטיף בוטנים (5, 4)",9,דוד זהבי,620
אגוזימ,החיבור הראשון חוזר לפירות (6),6,אודי הרשקוביץ,270
אגמ,"קומו, וגם החולה יקום (3)",3,אודי הרשקוביץ,98
אגממנונ,להוציא דג מהים? מלך מי שעושה להיפך (7),7,אודי הרשקוביץ,115
אגממנונ,"להוציא דג מהים זה קל, מלך מי שעושה ההיפך! (7)",7,אודי הרשקוביץ,195
